,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
75,3229820789163.0,478.0,14.0,22.0,5.8,6.8,0.02,0.0,d,d
76,3229820791807.0,80.0,0.5,11.0,1.1,1.3,0.05,3.0,b,b
77,3229820792224.0,494.0,14.0,27.0,4.9,7.199999809,0.0,0.0,d,d
78,3229820793665.0,72.0,0.6,7.0,0.9,3.8,0.09,0.0,a,a
79,3229820794181.0,80.0,0.8,8.0,0.9,4.0,0.125,0.0,a,a
80,3229820797908.0,438.0,5.0,14.0,11.0,11.0,0.0,0.0,c,c
81,3229820798110.0,420.0,3.1,12.0,8.9,10.0,0.01,0.0,b,c
82,3229820801056.0,426.0,4.0,14.0,9.6,9.6,0.07,0.0,c,c
83,3220000000000.0,368.0,3.5,28.0,12.0,6.2,0.16,35.7,c,c
84,3230000000000.0,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,c
85,3245412997952.0,479.0,14.0,22.0,6.3,6.8,0.0,0.0,d,d
86,3250391282869.0,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,d
87,3250391460274.0,391.0,1.2,28.5,3.5,6.6,0.42,0.0,c,c
88,3250391650743.0,387.0,1.4,28.0,4.9,7.1,0.39,0.0,c,c
89,3250391774029.0,461.0,6.3,21.1,8.5,8.4,0.01,0.0,c,c
90,3250392057510.0,497.0,14.0,25.0,5.2,7.3,0.01,0.0,d,d
91,3250392129811.0,392.0,1.4,28.6,3.1,6.6,0.4,0.0,c,c
92,3250392488598.0,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,d
93,3250392493769.0,385.0,1.3,24.3,2.2,8.6,0.06,0.0,c,b
94,3250392550707.0,176.0,5.7,15.0,2.8,5.4,0.12,0.0,c,c
95,3250392551339.0,322.0,12.7,23.8,4.7,8.6,0.19,0.0,d,d
96,3250392614959.0,434.0,2.6,28.5,7.8,9.9,0.34,0.0,c,c
97,3251514251007.0,390.0,13.0,33.0,3.2,6.4,0.1,0.0,d,e
98,3251516307009.0,422.0,13.0,29.0,3.0,5.9,0.08,0.0,d,d
99,3252920033508.0,65.0,0.76,10.4,0.0,3.43,0.08,0.0,b,b
100,3252920038411.0,364.0,13.6,22.9,2.9,6.4,0.11,0.0,d,d
101,3252920039470.0,348.0,15.1,18.0,1.0,8.0,0.31,0.0,d,d
102,3254560018037.0,380.0,1.0,26.0,6.5,9.0,0.5,0.0,c,c
103,3254560609907.0,384.0,1.0,30.0,2.9,6.5,0.45,0.0,c,c
104,3255650080194.0,471.0,11.3,31.2,5.9,8.3,0.04,0.0,d,d
105,3256220368315.0,389.0,1.4,32.0,3.5,7.0,0.33,0.0,c,c
106,3256221136272.0,502.0,14.9,23.9,6.0,6.6,0.01,0.0,d,d
107,3256222969336.0,326.0,0.5,24.0,2.5,6.8,0.29,0.0,c,b
108,3256222988245.0,492.0,14.3,27.5,2.4,7.0,0.1,0.0,e,e
109,3256224070184.0,492.0,13.8,21.7,6.2,7.4,0.03,0.0,d,d
110,3256225042418.0,379.0,1.2,24.0,8.9,9.9,0.43,0.0,c,c
111,3256225432875.0,196.0,6.1,15.0,1.5,5.6,0.12,0.0,c,c
112,3256226156046.0,527.0,15.0,34.0,2.8,6.6,0.4,0.0,e,e
113,3256226387655.0,483.0,13.0,24.0,2.7,7.2,0.1,0.0,e,e
114,3256226387662.0,479.0,14.0,22.0,7.1,7.4,0.01,0.0,d,d
115,3256226763848.0,364.0,1.7,20.0,8.7,9.8,0.42,0.0,b,b
116,3256227109393.0,152.0,3.2,20.0,1.0,4.2,0.1,0.0,c,c
117,3256227454066.0,573.0,23.0,49.0,1.8,6.7,0.21,0.0,e,e
118,3256227454080.0,573.0,23.0,49.0,1.7,6.7,0.21,0.0,e,e
119,3256227742842.0,587.0,27.0,38.0,6.7,5.0,0.01,0.0,e,e
120,3256227742873.0,556.0,18.0,38.0,4.2,8.0,0.18,13.0,e,e
121,3256227751783.0,156.0,4.5,13.0,1.9,5.4,0.1,0.0,c,c
122,3256227763373.0,320.0,13.0,21.0,3.0,6.9,0.16,0.0,d,d
123,3256228686510.0,374.0,0.8,18.0,3.0,6.9,0.01,0.0,b,b
124,3256228686534.0,394.0,2.1,19.0,11.0,9.2,0.01,0.0,b,b
125,3257984018461.0,483.0,14.0,22.0,6.3,6.8,0.02,0.0,d,d
126,3257984550572.0,393.0,1.5,29.0,6.9,9.3,0.26,0.0,c,c
127,3257985566817.0,390.0,1.2,31.0,3.9,7.4,0.34,0.0,c,c
128,3258260034120.0,49.0,0.27,3.52,0.9,1.7,0.005,0.0,a,a
129,3258561040240.0,391.0,1.2,28.5,3.5,6.6,0.42,0.0,c,c
130,3258561260242.0,493.0,14.2,27.2,4.9,7.2,0.5,0.0,e,d
131,3258590000871.0,535.0,6.0,35.6,8.2,11.6,0.0,0.0,d,d
132,3259011209743.0,531.0,8.3,31.0,4.7,11.0,0.0,0.0,d,d
133,3263850576096.0,501.0,18.0,31.0,5.0,7.7,0.33,0.0,d,d
134,3263851322418.0,383.0,1.0,29.0,2.9,6.8,0.79,0.0,c,c
135,3263851325211.0,390.0,1.7,30.0,6.2,9.0,0.2,0.0,c,c
136,3263851325310.0,394.0,1.4,30.0,6.5,7.5,0.37,0.0,c,c
137,3263852557413.0,479.0,14.0,21.6,6.3,6.8,0.0,0.0,d,d
138,3263852558519.0,473.0,12.0,20.0,6.8,7.7,0.0,0.0,d,d
139,3263852746510.0,504.0,11.0,29.0,4.9,8.7,0.6,0.0,e,d
140,3263858827213.0,361.0,13.0,24.0,2.2,6.6,0.12,0.0,d,d
141,3266191002224.0,487.0,14.7,28.3,1.6,6.8,0.12,0.0,e,e
142,3266191006505.0,426.0,9.4,34.0,12.0,6.5,0.01,0.0,d,d
143,3266191008363.0,493.0,14.0,27.0,5.0,7.2,0.0,0.0,d,d
144,3266191008370.0,497.0,14.0,27.0,3.5,7.8,0.1,0.0,d,d
