code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.179142725007E12,Sundae chocolat,350,Vahiné,321.0,0.7,54.0,0.0,1.1,0.02,0.0,d,14.0
3.184340930702E12,Choc'croc Classic,100.0,Pural,515.0,15.0,27.0,2.8,7.9,0.79,0.0,e,22.0
3.184670001547E12,Le fondant au chocolat noir,220,Rians,218.0,8.0,17.0,0.0,4.5,0.1,0.0,d,12.0
3.222475413391E12,Pétales choco craquants,375.0,"Les Doodingues, DooDingues",379.0,1.7,25.0,7.9,9.7,0.19,0.0,b,0.0
3.222475485664E12,Galettes de riz nappées de chocolat noir,100,Casino,495.0,14.0,21.0,6.6,7.5,0.02,0.0,d,15.0
3.222475820908E12,Bâtonnets chocolat au lait,100.0,"Casino Bio,Casino",568.0,24.0,45.0,0.0,8.3,0.25,0.0,e,27.0
3.22247598233E12,Galettes de riz nappées de chocolat noir,100,Casino,495.0,14.0,21.0,6.6,7.5,0.02,0.0,d,15.0
3.22247598288E12,Galettes de riz nappées de chocolat au lait,100,Casino,513.0,15.0,29.0,3.9,7.1,0.1,0.0,d,18.0
3.22247598329E12,Galettes de maïs au chocolat noir bio,100,"Casino, Casino Bio",487.0,13.0,20.0,9.3,7.0,0.0,0.0,d,15.0
3.222476416643E12,Crème dessert chocolat au lait de brebis,200,"Casino Bio,Casino",162.0,4.7,13.0,1.6,5.7,0.11,0.0,c,4.0
3.222476755865E12,Hey coco! Onctueux coco Dessert au chocolat.,240,Casino,246.0,14.0,13.0,3.1,2.7,0.02,78.0,d,12.0
3.222476861528E12,Petits pots de crème au chocolat BIO,200,"Casino Bio,Casino",171.0,5.7,15.0,1.6,5.2,0.11,0.0,c,6.0
3.222476990136E12,Mini galettes de riz nappées de chocolat noir Bio,60,"Casino Bio, Casino",473.0,12.0,20.0,6.8,7.7,0.0,0.0,d,14.0
3.222476990143E12,Mini galettes de riz nappées de chocolat au lait Bio,60,"Casino Bio, Casino",485.0,12.0,25.0,3.0,7.5,0.08,0.0,d,18.0
3.222477420366E12,Petales choco,500.0,Casino,374.0,1.0,19.0,9.8,11.0,0.2,0.0,a,-2.0
3.222477445918E12,"Barres de céréales abricot, chocolat noir, amande.",120.0,Casino Bio,368.0,3.5,28.0,12.0,6.2,0.16,40.5,c,7.0
3.228857001132E12,Doo Wap pépites choco sans additif,320.0,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0
3.228857001149E12,Doo Wap pépites choco sans additif,480.0,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0
3.228857001156E12,DooWap pépites chocolait ss additif,320.0,"Harrys,Barilla",340.0,3.9,16.4,3.9,8.3,0.75,0.0,c,9.0
3.228857001163E12,DooWap pépites chocolait ss additif,480.0,Harrys,340.0,3.9,16.4,3.9,8.3,0.75,0.0,c,9.0
3.228857001309E12,Harrys brioche tressee aux pepites de chocolat sans additifs 500g,500.0,Harrys,366.0,2.5,14.0,5.0,7.5,0.75,0.0,c,7.0
3.228857001347E12,Brioche tranchée aux pépites de chocolat,485.0,Harrys,357.0,2.7,16.6,5.2,7.0,0.65,0.0,c,6.0
3.228857001934E12,Brioche tranchée harrys au chocolat et à la noix de coco,450.0,Harrys,348.0,4.3,14.0,7.0,9.2,0.9,9.7,c,9.0
3.229820100241E12,Galettes de riz chocolat noir coco bio,90,Bjorg,505.0,16.0,24.0,6.3,7.5,0.05,6.0,d,16.0
